municipio,hazard_index,exposure_index_pc,vulnerability_index,def_mean,ppt_std,ws_std,dtr_mean,empregos_pc,empresas_pc,climate_risk_index,risk_norm,rank_risk
ABDON BATISTA,0.5213231329171638,0.0526237900822826,0.40912288888784,0.3083651979063592,0.452119882275685,0.4212747308372997,0.5977650504635933,0.0263949854306831,0.0788525947338821,0.011223876970313169,0.05435815516212758,282.0
ABELARDO LUZ,0.7102156522460894,0.1928273511818515,0.441137818601293,0.073059394379424,0.5825299169778242,0.4034701976026431,0.9245331418017648,0.2375731284792371,0.1480815738844658,0.06041338443885305,0.2945292052218546,99.0
AGROLANDIA,0.3900823654565672,0.555212287810614,0.3545568904712913,0.0769581621635039,0.0910257378159956,0.3191843608370027,0.5266981325672072,0.464846352508825,0.6455782231124031,0.07678940750163958,0.37448622974191514,43.0
AGRONOMICA,0.3862370146311025,0.3115047114081995,0.3695374662056099,0.0862494259863726,0.1208421385281146,0.2945632227580155,0.5176482659552635,0.2020936500077012,0.4209157728086978,0.04446077082631321,0.21663950557460346,167.0
AGUA DOCE,0.5833433485711529,0.2144455481157819,0.5501269609114559,0.074077473578084,0.2768907966855594,0.4907726222778178,0.7650011792055523,0.1559939566407408,0.272897139590823,0.06881834349220739,0.33556697822342757,71.0
AGUAS DE CHAPECO,0.6998773761694597,0.0995728580970652,0.359015929294765,0.802371072747005,0.76430961720151,0.0838841946411818,0.7389698337779598,0.063428011303603,0.1357177048905273,0.02501938594118607,0.12171564756560414,246.0
AGUAS FRIAS,0.6653466701627991,0.2352163116568169,0.4214916872163548,0.5027118265423901,0.6857596092192458,0.1747287673220013,0.7919146316437512,0.1673237986289044,0.3031088246847294,0.06596361331682515,0.32162856779520277,80.0
AGUAS MORNAS,0.432312919597005,0.2549184384561709,0.3890340462926127,0.0383650132243594,0.1860042307660587,0.6045271476567604,0.2114983745018198,0.1031219186551144,0.4067149582572274,0.042873315932794635,0.208888651209114,176.0
ALFREDO WAGNER,0.4445811331325092,0.1046417742117454,0.3779388666262811,0.0266295042708977,0.1345532662138924,0.5999234896324207,0.3958488464131803,0.0340898624571548,0.1751936859663361,0.01758238070062477,0.08540397359595382,273.0
ALTO BELA VISTA,0.5693460642688509,0.1392851484375539,0.4339753881029868,0.5658595311084358,0.636497506657067,0.1702630257882291,0.6361584239688076,0.1041223815199717,0.1744479153551362,0.034414878006979586,0.16758976404690187,203.0
ANCHIETA,0.7433612080120857,0.1998270461413119,0.4190291171864967,0.1999920362073315,0.7282671689157886,0.3628742512986213,0.9311512415349888,0.1566653121655661,0.2429887801170578,0.062244124752956514,0.3034679168750688,93.0
ANGELINA,0.3821224052414668,0.1351820299389516,0.3782686976004865,0.0393363092406196,0.1713472959886734,0.5084239128935357,0.3041760722347631,0.0460838715160574,0.2242801883618458,0.019539879022311465,0.09496158967312902,263.0
ANITA GARIBALDI,0.5103821184317051,0.1070363177503379,0.3618682707463153,0.371582356475908,0.4310241812342957,0.41998201245224,0.5720936794582394,0.0941106930044562,0.1199619424962195,0.0197686546890532,0.09607860212023714,262.0
ANITAPOLIS,0.4643211724825146,0.135250245032377,0.3960079145830592,0.0403021099470282,0.1689326316749994,0.6380462011957403,0.3151036322593881,0.1012750052546971,0.1692254848100569,0.02486911976365752,0.12098196293441374,247.0
ANTONIO CARLOS,0.4107816144393089,0.2613771614250672,0.2778474091213369,0.0592105200348656,0.2165018257980571,0.5629788459131365,0.1956463401158657,0.247223689603607,0.2755306332465273,0.02983217967294725,0.14521443386707766,231.0
APIUNA,0.3550987195344366,0.442761819081546,0.3289057720220427,0.1054454679893722,0.1981361415596451,0.2917109802360823,0.4490994332980788,0.3473980988715863,0.5381255392915058,0.051711932085588636,0.25204378391397114,132.0
ARABUTA,0.6002940226501142,0.2413459594119415,0.4298453822321184,0.3684133229080047,0.6804540850767967,0.1698900383798437,0.7167189469672537,0.2497685030721156,0.2329234157517674,0.062275370039092635,0.3036204740679931,92.0
ARAQUARI,0.3935296300214272,0.5621206019941563,0.0796063919337173,0.0933630109191401,0.4978474091115529,0.32969869665834,0.2359382870361732,0.5251654708570068,0.5990757331313058,0.01760981852417133,0.08553794059891162,272.0
ARARANGUA,0.5868709855020273,0.2060049500411763,0.3286490327357826,0.5524973942762416,0.0402490039968701,0.7287602276661188,0.4584203474125129,0.1152783329880378,0.2967315670943149,0.039733118572664386,0.1935564282170538,185.0
ARMAZEM,0.5655036812861809,0.4320432207358887,0.4311444666902851,0.2466006211988116,0.1441138208351146,0.776481730702339,0.2509063547438263,0.3473221356347378,0.5167643058370396,0.10533809210147863,0.5138770858620452,10.0
ARROIO TRINTA,0.553470809322016,0.3125963438859436,0.3778655445540779,0.1156032417807454,0.2259690806401243,0.3882667973430275,0.7395854709624462,0.1668343981425064,0.4583582896293807,0.06537563311140974,0.318757715237078,85.0
ARVOREDO,0.6709229626455171,0.1276520897209732,0.3215996688718701,0.4400848712761511,0.8341114547804438,0.0617897808985514,0.6949517750872152,0.0662094608514728,0.1890947185904735,0.02754331302129794,0.13403888982397275,236.0
ASCURRA,0.3496483370586847,0.5208917449695187,0.3279165498454903,0.1088609087411415,0.1886975891157991,0.2186924300921198,0.4561871537040833,0.3785177477556402,0.6632657421833974,0.05972309114495908,0.29115880218722906,101.0
ATALANTA,0.3882736657034316,0.2321472178565493,0.396843424584585,0.0817271294354188,0.1051000169045611,0.3468195977155471,0.5145085163143851,0.1200336463614179,0.3442607893516808,0.035770137366611006,0.17420690823591672,199.0
AURORA,0.3757916782507805,0.3643141325778269,0.3578480271938655,0.0808500779831126,0.1408688996047142,0.3124207279177013,0.4944387441001432,0.3832461426130943,0.3453821225425596,0.048991620484176754,0.23876168113588161,140.0
BALNEARIO ARROIO DO SILVA,0.6381580042433287,0.0645282570403872,0.3730283193503913,0.598456610085816,0.0353984096688539,0.8138385440655621,0.4022162938641493,0.0351308249336848,0.0939256891470896,0.015361016620228027,0.0745580153579076,276.0
BALNEARIO BARRA DO SUL,0.4364160000069277,0.0599933294906467,0.4261043341973244,0.0743818235223544,0.5122061901696766,0.5375907224932815,0.2167863738969832,0.0238147843012763,0.096171874680017,0.011156284507385381,0.054028130454970826,283.0
BALNEARIO CAMBORIU,0.6068623542066656,0.2072383079469298,0.2648479195194418,0.1179055018430491,0.3367639389617639,0.7919687187092468,0.4403857993022775,0.1306054244944481,0.2838711913994114,0.03330863235123822,0.16218844587079811,210.0
BALNEARIO GAIVOTA,0.5592546949133003,0.1099805872779636,0.3750194426380545,0.4972987746101878,0.0530255772591891,0.733172766666966,0.2578493741021955,0.048291237818083,0.1716699367378441,0.02306638078064162,0.11217996964729972,258.0
BALNEARIO PICARRAS,0.479704497434758,0.2080066710795834,0.2933140127204068,0.105846044373839,0.3762572676680645,0.598604994394271,0.3625076954648056,0.1361487164447454,0.2798646257144215,0.029267381268946256,0.14245676800006868,232.0
BALNEARIO RINCAO,0.7031904892582356,0.1206682878411817,0.3719974308243254,0.8350321033927826,0.1265979228978837,0.8389761918788688,0.469012928380874,0.0682602544562226,0.1730763212261409,0.03156502075804776,0.1536751460069868,218.0
BANDEIRANTE,0.7754052039887778,0.1364058413352082,0.4218974506473293,0.5170422208077502,0.924022564387218,0.1355168250213722,0.9253320043387764,0.1159416080702367,0.1568700746001797,0.04462400864883981,0.21743652512741662,165.0
BARRA BONITA,0.7579822213269515,0.1770300554991193,0.4447666156473846,0.3384017185244022,0.8505166956068542,0.2643298756717156,0.922121896162528,0.0489745022933849,0.3050856087048538,0.05968129061795409,0.290954708326963,102.0
BARRA VELHA,0.4497801217056166,0.1398229026647264,0.3909069295617669,0.1005700317310596,0.4164123726134534,0.5514764214324214,0.3238764621383129,0.0915083038058071,0.1881375015236456,0.02458396565239716,0.11958967897275687,251.0
